slug;quantity
ammo_9mm;1169
ammo_38lc;0
ammo_45acp;1384
ammo_50ae;769
ammo_556x45;703
ammo_762x39;1
ammo_12gauge;78
ammo_762x51;28
ammo_50bmg;20
misc_argent_sale;1073291
cash_argent_propre;527588
drug_weed_ogkush;1300
drug_weed_whitewidow;132
drug_weed_purple;152
drug_weed_bluedream;0
drug_cook;0
drug_amph_basse;0
drug_amph_moyen;0
drug_amph_haute;0
drug_meth_basse;2
drug_meth_moyen;0
drug_meth_haute;284
drug_lsd;0
drug_mdma;0
drug_lean;0
drug_cocaine;190
drug_brique_weed;42
drug_brique_cocaine;80
drug_sachet_weed;972
drug_joint_purple;250
drug_joint_ogkush;863
drug_poudre_cafe;1
drug_sac_meth;9
elec_cle_usb_phantom;1
elec_grand_ecran;1
elec_petit_ecran;3
elec_carte_electronique;3
elec_carte_piratage;1
elec_machine_traitement;2
elec_fil_cuivre;2
elec_clavier;1
elec_laptop;1
farm_engrais_vitesse;24
farm_engrais_booster;2
farm_spray_pesticide;3
farm_feuille_rouler;4922
farm_sachet_plastique;1140
farm_seed_weed_bluedream;9
farm_seed_weed_whitewidow;2
farm_seed_weed_purple;4
melee_switchblade;1
melee_knife;3
melee_machete;0
melee_katana;1
melee_batte;0
melee_queuebillard;0
melee_golfclub;0
melee_piedbiche;0
melee_hammer;0
melee_cleanglaise;0
melee_badminton;1
misc_sac_tete;3
misc_bandage;25
misc_badge_presse;1
misc_portefeuille;1
misc_carte_identite;1
misc_permis_conduire;1
misc_bong;1
misc_peinture;7
misc_tablette_chocolat;7
misc_bombonne_gaz;7
minerai;0
fragment_metal;6235
petrole;0
poudre;883
tool_menottes;4
tool_decoupeur_plasma;1
tool_meuleuse_angle;7
tool_foreuse;1
tool_crochetage;1
weapon_sns;2
weapon_wn29;0
weapon_ceramic;1
weapon_pistol;1
weapon_heavy;2
weapon_cal50;7
weapon_ak47;0
weapon_micro_smg;2
weapon_mini_smg;0
weapon_tec9;0
weapon_aku;0
weapon_pompe;0
weapon_machine_pistol;4
metal;60
polymere;5
ressort;9
canon;9
poignee;4
corp;21
corp_smg;9
corp_rifle;10
crosse;6
suppressor;1
tactical_suppressor;2
plan_sns;0
plan_wn29;0
plan_ceramic;0
plan_pistol;8
plan_heavy;0
plan_cal50;5
plan_ak47;1
plan_micro_smg;0
plan_tec9;0
plan_aku;0
plan_pompe;0
plan_mg;1
plan_combat_pdw;1
plan_combat_pistol;3
plan_machine_pistol;1
plan_fusil_pompe;1
plan_mini_smg;1
plan_ak_complet;2
