slug;quantity
ammo_9mm;2166
ammo_38lc;0
ammo_45acp;2198
ammo_50ae;1735
ammo_556x45;1747
ammo_762x39;6469
ammo_12gauge;113
ammo_762x51;46
ammo_50bmg;58
misc_argent_sale;739291
cash_argent_propre;0
drug_weed_ogkush;1102
drug_weed_whitewidow;132
drug_weed_purple;152
drug_weed_bluedream;0
drug_cook;0
drug_amph_basse;0
drug_amph_moyen;0
drug_amph_haute;0
drug_meth_basse;0
drug_meth_moyen;0
drug_meth_haute;0
drug_lsd;0
drug_mdma;0
drug_lean;0
drug_cocaine;50
drug_brique_weed;22
drug_brique_cocaine;0
drug_sachet_weed;982
drug_joint_purple;241
drug_joint_ogkush;1785
drug_poudre_cafe;0
drug_sac_meth;0
elec_cle_usb_phantom;0
elec_grand_ecran;0
elec_petit_ecran;0
elec_carte_electronique;0
elec_carte_piratage;1
elec_machine_traitement;0
elec_fil_cuivre;0
elec_clavier;0
elec_laptop;0
elec_telephone;1
farm_engrais_vitesse;0
farm_engrais_booster;0
farm_spray_pesticide;0
farm_feuille_rouler;10828
farm_sachet_plastique;1130
farm_seed_weed_bluedream;0
farm_seed_weed_whitewidow;0
farm_seed_weed_purple;0
melee_switchblade;0
melee_knife;0
melee_machete;0
melee_katana;0
melee_batte;0
melee_queuebillard;0
melee_golfclub;0
melee_piedbiche;0
melee_hammer;0
melee_cleanglaise;0
melee_badminton;1
melee_walkingstick;1
misc_sac_tete;3
misc_bandage;0
misc_badge_presse;0
misc_portefeuille;0
misc_carte_identite;0
misc_permis_conduire;0
misc_bong;0
misc_peinture;0
misc_tablette_chocolat;7
misc_bombonne_gaz;0
misc_explosif_c4;1
misc_thermite;1
misc_explosifs;1
misc_boiled_egg;14
misc_corde;1
minerai;0
fragment_metal;861
petrole;3
poudre;1250
tool_menottes;0
tool_decoupeur_plasma;0
tool_meuleuse_angle;2
tool_foreuse;1
tool_crochetage;1
weapon_sns;7
weapon_wn29;3
weapon_ceramic;2
weapon_pistol;0
weapon_heavy;1
weapon_cal50;7
weapon_ak47;0
weapon_micro_smg;3
weapon_mini_smg;0
weapon_tec9;0
weapon_aku;0
weapon_pompe;0
weapon_machine_pistol;3
weapon_extended_pistol;1
metal;51
polymere;22
ressort;21
canon;3
poignee;4
corp;24
corp_smg;10
corp_rifle;10
crosse;14
suppressor;0
tactical_suppressor;0
plan_sns;0
plan_wn29;0
plan_ceramic;0
plan_pistol;8
plan_heavy;0
plan_cal50;8
plan_ak47;4
plan_micro_smg;2
plan_tec9;0
plan_aku;0
plan_pompe;0
plan_mg;1
plan_combat_pdw;1
plan_combat_pistol;0
plan_machine_pistol;0
plan_fusil_pompe;6
plan_mini_smg;6
plan_ak_complet;4
