slug;quantity
drug_weed_bluedream;796
drug_weed_whitewidow;22
drug_weed_purple;22
drug_meth_haute;14
drug_cocaine;50
drug_brique_cocaine;2
drug_brique_weed;2
drug_sachet_weed;905
drug_joint_purple;99
drug_poudre_cafe;1
farm_spray_pesticide;2
farm_seed_weed_bluedream;2
farm_engrais_vitesse;24
farm_engrais_booster;2
farm_feuille_rouler;48
farm_sachet_plastique;1140
fragment_metal;2181
poudre;191
corp;21
canon;12
poignee;6
corp_smg;9
corp_rifle;10
crosse;6
metal;114
ressort;22
suppressor;1
tactical_suppressor;1
weapon_cal50;2
weapon_sns;12
melee_knife;1
melee_katana;1
ammo_45acp;28
ammo_9mm;308
ammo_50ae;470
ammo_12gauge;61
ammo_556x45;314
ammo_50bmg;20
ammo_762x51;16
ammo_762x39;41
plan_cal50;6
plan_pistol;1
plan_ak47;1
plan_mg;1
plan_combat_pdw;2
plan_combat_pistol;1
plan_fusil_pompe;1
plan_mini_smg;1
plan_ak_complet;1
elec_cle_usb_phantom;1
elec_grand_ecran;1
elec_petit_ecran;3
elec_carte_electronique;3
elec_carte_piratage;1
elec_machine_traitement;2
elec_fil_cuivre;2
tool_menottes;3
tool_decoupeur_plasma;2
tool_meuleuse_angle;6
tool_foreuse;1
tool_crochetage;1
misc_sac_tete;4
misc_argent_sale;652922
